machine_number,control_number,timestamp,test_step,S_VSENSE,S_OVP
410,4115,09/27/2024 06:26:18,Display Stand,1.248,1.400
410,3971,07/12/2024 15:54:28,Power_down,0.172,0.100
405,4115,10/01/2024 02:08:32,PCIE,1.567,1.550
405,4115,09/26/2024 13:19:45,PCIE,1.552,1.550
405,4115,09/28/2024 04:13:57,PCIE,1.570,1.550
410,4083,09/11/2024 20:11:12,ECID_Read_end,1.598,1.550
