machine_number,control_number,timestamp,test_step,S_VSENSE,S_OVP
414,4067,09/14/2024 00:57:58,,3.731,3.730
414,4067,09/19/2024 13:03:53,,3.731,3.730
406,4004,08/10/2024 16:47:31,,3.751,3.750
408,4058,08/30/2024 00:13:39,,3.731,3.730
408,4058,09/07/2024 17:50:33,,3.731,3.730
406,4126,10/05/2024 11:44:33,,3.731,3.730
415,4087,09/18/2024 00:17:35,,3.731,3.730
415,4074,09/14/2024 16:11:06,,3.731,3.730
415,4074,09/14/2024 10:01:21,,3.731,3.730
415,4074,09/14/2024 10:08:14,,3.731,3.730
