,COOLDUTY.0,ES0_TEMP.0,HTR_DUTY.0,SNK_TEMP.0,COOLDUTY.1,ES0_TEMP.1,HTR_DUTY.1,SNK_TEMP.1,COOLDUTY.2,ES0_TEMP.2,HTR_DUTY.2,SNK_TEMP.2,COOLDUTY.3,ES0_TEMP.3,HTR_DUTY.3,SNK_TEMP.3,COOLDUTY.4,ES0_TEMP.4,HTR_DUTY.4,SNK_TEMP.4,COOLDUTY.5,ES0_TEMP.5,HTR_DUTY.5,SNK_TEMP.5,COOLDUTY.6,ES0_TEMP.6,HTR_DUTY.6,SNK_TEMP.6,COOLDUTY.7,ES0_TEMP.7,HTR_DUTY.7,SNK_TEMP.7
0,0.0,62.7,0.0,26.3,0.0,57.5,0.0,25.1,0.0,-99.9,0.0,25.5,0.0,-99.9,0.0,24.5,0.0,-99.9,0.0,24.6,0.0,63.8,0.0,24.3,0.0,62.2,0.0,24.7,0.0,-99.9,0.0,24.4
1,0.0,61.9,0.0,26.2,0.0,57.5,0.0,25.1,0.0,-99.9,0.0,25.4,0.0,-99.9,0.0,24.5,0.0,-99.9,0.0,24.6,0.0,63.8,0.0,24.4,0.0,63.0,0.0,24.7,0.0,-99.9,0.0,24.4
2,0.0,62.0,0.0,26.3,0.0,57.4,0.0,25.1,0.0,-99.9,0.0,25.4,0.0,-99.9,0.0,24.5,0.0,-99.9,0.0,24.6,0.0,63.7,0.0,24.4,0.0,62.2,0.0,24.7,0.0,-99.9,0.0,24.4
3,0.0,62.2,0.0,26.2,0.0,57.8,0.0,25.1,0.0,-99.9,0.0,25.4,0.0,-99.9,0.0,24.5,0.0,-99.9,0.0,24.6,0.0,64.0,0.0,24.4,0.0,62.5,0.0,24.8,0.0,-99.9,0.0,24.4
4,0.0,62.4,0.0,26.2,0.0,57.5,0.0,25.0,0.0,-99.9,0.0,25.4,0.0,-99.9,0.0,24.5,0.0,-99.9,0.0,24.6,0.0,63.5,0.0,24.4,0.0,62.5,0.0,24.8,0.0,-99.9,0.0,24.4
5,0.0,62.2,0.0,26.2,0.0,57.2,0.0,25.0,0.0,-99.9,0.0,25.4,0.0,-99.9,0.0,24.5,0.0,-99.9,0.0,24.6,0.0,63.5,0.0,24.4,0.0,62.2,0.0,24.8,0.0,-99.9,0.0,24.4
6,0.4,62.0,0.0,26.1,0.4,57.2,0.0,25.0,0.0,-99.9,0.0,25.5,0.0,-99.9,0.0,24.5,0.0,-99.9,0.0,24.6,0.4,63.9,5.9,24.4,0.4,62.2,2.0,24.8,0.0,-99.9,0.0,24.4
7,0.4,62.0,0.0,26.1,0.4,57.6,0.0,25.0,0.0,-99.9,0.0,25.4,0.0,-99.9,0.0,24.6,0.0,-99.9,0.0,24.6,0.4,64.0,5.5,24.5,0.4,62.3,2.0,24.8,0.0,-99.9,0.0,24.4
8,0.4,30.2,0.0,26.1,0.4,30.0,0.0,25.0,0.0,-99.9,0.0,25.4,0.0,-99.9,0.0,24.5,0.0,-99.9,0.0,24.6,0.4,29.0,4.3,24.6,0.4,28.8,1.2,24.9,0.0,-99.9,0.0,24.4
9,4.7,30.8,0.0,26.1,4.7,30.1,0.0,25.0,0.0,-99.9,0.0,25.5,0.0,-99.9,0.0,24.5,0.0,-99.9,0.0,24.6,4.8,29.5,2.7,24.8,4.7,29.1,0.8,24.9,0.0,-99.9,0.0,24.4
10,0.4,31.4,100.0,26.4,0.4,30.8,100.0,25.3,0.0,-99.9,0.0,25.4,0.0,-99.9,0.0,24.6,0.0,-99.9,0.0,24.5,0.4,29.7,100.0,25.2,0.4,29.4,100.0,25.2,0.0,-99.9,0.0,24.5
11,0.4,32.2,100.0,28.1,0.4,31.5,100.0,26.8,0.0,-99.9,0.0,25.4,0.0,-99.9,0.0,24.6,0.0,-99.9,0.0,24.6,0.4,30.5,100.0,27.1,0.4,30.2,100.0,27.2,0.0,-99.9,0.0,24.5
12,1.1,47.2,100.0,30.6,1.0,43.9,100.0,29.4,0.0,-99.9,0.0,25.4,0.0,-99.9,0.0,24.6,0.0,-99.9,0.0,24.6,1.1,41.9,100.0,29.8,1.1,41.6,100.0,29.9,0.0,-99.9,0.0,24.5
13,0.4,47.2,100.0,34.0,0.4,46.0,100.0,32.7,0.0,-99.9,0.0,25.4,0.0,-99.9,0.0,24.6,0.0,-99.9,0.0,24.6,0.4,43.3,100.0,32.8,0.4,42.9,100.0,32.9,0.0,-99.9,0.0,24.5
14,0.5,50.0,100.0,37.4,0.5,48.7,100.0,36.3,0.0,-99.9,0.0,25.4,0.0,-99.9,0.0,24.6,0.0,-99.9,0.0,24.6,0.5,45.6,100.0,35.9,0.5,45.1,100.0,36.1,0.0,-99.9,0.0,24.5
15,0.5,52.9,100.0,40.2,0.5,51.6,100.0,39.7,0.0,-99.9,0.0,25.4,0.0,-99.9,0.0,24.6,0.0,-99.9,0.0,24.6,0.5,48.2,100.0,38.7,0.5,47.6,100.0,38.8,0.0,-99.9,0.0,24.5
16,0.6,55.6,100.0,43.0,0.5,54.6,100.0,43.0,0.0,-99.9,0.0,25.4,0.0,-99.9,0.0,24.6,0.0,-99.9,0.0,24.6,0.5,50.3,100.0,41.2,0.5,49.7,100.0,41.3,0.0,-99.9,0.0,24.5
17,1.0,58.5,99.6,45.0,1.0,57.4,100.0,45.9,0.0,-99.9,0.0,25.4,0.0,-99.9,0.0,24.6,0.0,-99.9,0.0,24.6,0.9,53.0,100.0,43.5,0.9,52.5,100.0,43.5,0.0,-99.9,0.0,24.5
18,1.1,60.3,83.9,46.6,1.1,59.6,89.4,48.1,0.0,-99.9,0.0,25.4,0.0,-99.9,0.0,24.6,0.0,-99.9,0.0,24.6,1.0,55.2,100.0,45.3,1.0,54.6,100.0,45.3,0.0,-99.9,0.0,24.5
19,1.2,62.5,65.5,47.8,1.1,61.8,71.0,50.0,0.0,-99.9,0.0,25.4,0.0,-99.9,0.0,24.6,0.0,-99.9,0.0,24.6,1.1,57.4,100.0,47.2,1.1,56.4,100.0,47.1,0.0,-99.9,0.0,24.5
20,1.3,63.6,56.5,49.0,1.3,63.4,57.3,51.4,0.0,-99.9,0.0,25.5,0.0,-99.9,0.0,24.6,0.0,-99.9,0.0,24.6,1.2,59.2,92.5,49.1,1.2,58.5,99.6,49.0,0.0,-99.9,0.0,24.5
21,1.7,64.1,52.2,49.0,1.6,64.8,44.7,52.0,0.0,-99.9,0.0,25.5,0.0,-99.9,0.0,24.6,0.0,-99.9,0.0,24.6,1.5,61.3,74.5,50.5,1.5,60.6,80.4,50.3,0.0,-99.9,0.0,24.5
22,1.7,64.6,48.6,48.9,1.7,65.4,40.0,52.0,0.0,-99.9,0.0,25.5,0.0,-99.9,0.0,24.6,0.0,-99.9,0.0,24.6,1.6,62.6,63.5,51.2,1.5,62.0,69.0,51.1,0.0,-99.9,0.0,24.5
23,1.7,64.9,47.1,48.8,1.7,65.7,38.8,51.7,0.0,-99.9,0.0,25.5,0.0,-99.9,0.0,24.6,0.0,-99.9,0.0,24.6,1.6,63.6,56.1,51.6,1.6,63.0,61.6,51.5,0.0,-99.9,0.0,24.5
24,1.7,64.8,49.4,48.8,1.7,65.4,42.0,51.2,0.0,-99.9,0.0,25.5,0.0,-99.9,0.0,24.7,0.0,-99.9,0.0,24.6,1.7,64.3,51.0,51.6,1.6,63.5,58.0,51.5,0.0,-99.9,0.0,24.6
25,1.2,64.9,100.0,49.2,1.2,65.1,100.0,51.0,0.0,-99.9,0.0,25.5,0.0,-99.9,0.0,24.7,0.0,-99.9,0.0,24.6,1.3,64.4,100.0,51.6,1.3,63.8,100.0,51.7,0.0,-99.9,0.0,24.6
26,1.2,65.5,100.0,50.2,1.2,65.9,100.0,51.7,0.0,-99.9,0.0,25.5,0.0,-99.9,0.0,24.7,0.0,-99.9,0.0,24.6,1.3,64.7,100.0,52.3,1.3,64.5,100.0,52.4,0.0,-99.9,0.0,24.6
27,1.2,66.7,100.0,51.6,1.2,66.9,100.0,53.1,0.0,-99.9,0.0,25.5,0.0,-99.9,0.0,24.7,0.0,-99.9,0.0,24.6,1.3,65.6,100.0,53.6,1.3,65.3,100.0,53.6,0.0,-99.9,0.0,24.6
28,1.3,68.2,100.0,52.9,1.3,68.3,99.6,54.7,0.0,-99.9,0.0,25.5,0.0,-99.9,0.0,24.7,0.0,-99.9,0.0,24.6,1.3,66.7,100.0,54.8,1.3,66.3,100.0,54.7,0.0,-99.9,0.0,24.6
