,COOLDUTY.0,ES0_TEMP.0,HTR_DUTY.0,SNK_TEMP.0,COOLDUTY.1,ES0_TEMP.1,HTR_DUTY.1,SNK_TEMP.1,COOLDUTY.2,ES0_TEMP.2,HTR_DUTY.2,SNK_TEMP.2,COOLDUTY.3,ES0_TEMP.3,HTR_DUTY.3,SNK_TEMP.3,COOLDUTY.4,ES0_TEMP.4,HTR_DUTY.4,SNK_TEMP.4,COOLDUTY.5,ES0_TEMP.5,HTR_DUTY.5,SNK_TEMP.5,COOLDUTY.6,ES0_TEMP.6,HTR_DUTY.6,SNK_TEMP.6,COOLDUTY.7,ES0_TEMP.7,HTR_DUTY.7,SNK_TEMP.7
0,0.0,-99.9,0.0,25.0,0.0,73.5,0.0,25.0,0.0,62.6,0.0,24.8,0.0,-99.9,0.0,25.0,0.0,-99.9,0.0,25.1,0.0,-99.9,0.0,24.8,0.0,59.4,0.0,25.0,0.0,-99.9,0.0,24.6
1,0.0,-99.9,0.0,24.8,0.0,73.2,0.0,25.0,0.0,63.5,0.0,24.7,0.0,-99.9,0.0,25.0,0.0,-99.9,0.0,25.1,0.0,-99.9,0.0,24.8,0.0,59.2,0.0,25.0,0.0,-99.9,0.0,24.4
2,0.0,-99.9,0.0,24.7,0.4,73.0,0.4,25.0,0.4,63.0,3.1,24.6,0.0,-99.9,0.0,25.0,0.0,-99.9,0.0,25.2,0.0,-99.9,0.0,24.8,0.4,59.5,0.0,25.0,0.0,-99.9,0.0,24.4
3,0.0,-99.9,0.0,24.6,0.4,73.6,0.4,25.0,0.4,63.2,3.5,24.6,0.0,-99.9,0.0,25.0,0.0,-99.9,0.0,25.2,0.0,-99.9,0.0,24.8,0.4,59.2,0.0,25.0,0.0,-99.9,0.0,24.3
4,0.0,-99.9,0.0,24.5,0.4,73.5,0.0,25.0,0.4,63.5,3.1,24.7,0.0,-99.9,0.0,25.0,0.0,-99.9,0.0,25.2,0.0,-99.9,0.0,24.8,0.4,59.3,0.0,25.0,0.0,-99.9,0.0,24.2
5,0.0,-99.9,0.0,24.5,0.4,29.8,0.0,25.0,0.4,28.8,2.7,24.7,0.0,-99.9,0.0,25.0,0.0,-99.9,0.0,25.2,0.0,-99.9,0.0,24.8,0.4,28.8,0.0,25.0,0.0,-99.9,0.0,24.2
6,0.0,-99.9,0.0,24.5,0.4,30.2,100.0,25.0,0.4,29.0,100.0,24.8,0.0,-99.9,0.0,25.0,0.0,-99.9,0.0,25.1,0.0,-99.9,0.0,24.8,0.4,29.0,100.0,25.0,0.0,-99.9,0.0,24.2
7,0.0,-99.9,0.0,24.4,0.4,31.0,100.0,25.5,0.4,29.7,100.0,25.3,0.0,-99.9,0.0,25.0,0.0,-99.9,0.0,25.1,0.0,-99.9,0.0,24.8,0.4,29.6,100.0,25.4,0.0,-99.9,0.0,24.2
8,0.0,-99.9,0.0,24.4,0.4,40.5,100.0,27.4,0.4,39.2,100.0,26.9,0.0,-99.9,0.0,25.0,0.0,-99.9,0.0,25.1,0.0,-99.9,0.0,24.8,0.4,39.2,100.0,27.2,0.0,-99.9,0.0,24.2
9,0.0,-99.9,0.0,24.4,0.4,42.5,100.0,30.3,0.4,41.2,100.0,29.5,0.0,-99.9,0.0,25.0,0.0,-99.9,0.0,25.1,0.0,-99.9,0.0,24.8,0.4,40.9,100.0,29.8,0.0,-99.9,0.0,24.2
