,COOLDUTY.0,ES0_TEMP.0,HTR_DUTY.0,SNK_TEMP.0,COOLDUTY.1,ES0_TEMP.1,HTR_DUTY.1,SNK_TEMP.1,COOLDUTY.2,ES0_TEMP.2,HTR_DUTY.2,SNK_TEMP.2,COOLDUTY.3,ES0_TEMP.3,HTR_DUTY.3,SNK_TEMP.3,COOLDUTY.4,ES0_TEMP.4,HTR_DUTY.4,SNK_TEMP.4,COOLDUTY.5,ES0_TEMP.5,HTR_DUTY.5,SNK_TEMP.5,COOLDUTY.6,ES0_TEMP.6,HTR_DUTY.6,SNK_TEMP.6,COOLDUTY.7,ES0_TEMP.7,HTR_DUTY.7,SNK_TEMP.7
0,0.0,-99.9,0.0,27.6,0.0,-99.9,0.0,24.8,0.0,-99.9,0.0,29.6,0.0,-99.9,0.0,28.5,0.0,-99.9,0.0,25.5,0.0,-99.9,0.0,28.5,0.0,-99.9,0.0,25.3,0.0,-99.9,0.0,26.8
1,0.0,-99.9,0.0,27.6,0.0,-99.9,0.0,24.8,0.0,-99.9,0.0,29.6,0.0,-99.9,0.0,28.4,0.0,-99.9,0.0,25.5,0.0,-99.9,0.0,28.5,0.0,-99.9,0.0,25.3,0.0,-99.9,0.0,26.7
2,0.0,-99.9,0.0,27.6,0.0,-99.9,0.0,24.8,0.0,-99.9,0.0,29.5,0.0,-99.9,0.0,28.4,0.0,-99.9,0.0,25.5,0.0,-99.9,0.0,28.4,0.0,-99.9,0.0,25.3,0.0,-99.9,0.0,26.7
3,0.0,-99.9,0.0,27.5,0.0,-99.9,0.0,24.8,0.0,-99.9,0.0,29.5,0.0,-99.9,0.0,28.4,0.0,-99.9,0.0,25.5,0.0,-99.9,0.0,28.4,0.0,-99.9,0.0,25.3,0.0,-99.9,0.0,26.6
4,0.0,-1.0,0.0,-99.9,0.0,-1.0,0.0,-99.9,0.0,-1.0,0.0,-99.9,0.0,-1.0,0.0,-99.9,0.0,-1.0,0.0,-99.9,0.0,-1.0,0.0,-99.9,0.0,-1.0,0.0,-99.9,0.0,-1.0,0.0,-99.9
5,0.0,-1.0,0.0,-99.9,0.0,-1.0,0.0,-99.9,0.0,-1.0,0.0,-99.9,0.0,-1.0,0.0,-99.9,0.0,-1.0,0.0,-99.9,0.0,-1.0,0.0,-99.9,0.0,-1.0,0.0,-99.9,0.0,-1.0,0.0,-99.9
6,0.0,-1.0,0.0,-99.9,0.0,-1.0,0.0,-99.9,0.0,-1.0,0.0,-99.9,0.0,-1.0,0.0,-99.9,0.0,-1.0,0.0,-99.9,0.0,-1.0,0.0,-99.9,0.0,-1.0,0.0,-99.9,0.0,-1.0,0.0,-99.9
7,0.0,-1.0,0.0,-99.9,0.0,-1.0,0.0,-99.9,0.0,-1.0,0.0,-99.9,0.0,-1.0,0.0,-99.9,0.0,-1.0,0.0,-99.9,0.0,-1.0,0.0,-99.9,0.0,-1.0,0.0,-99.9,0.0,-1.0,0.0,-99.9
8,0.0,-1.0,0.0,-99.9,0.0,-1.0,0.0,-99.9,0.0,-1.0,0.0,-99.9,0.0,-1.0,0.0,-99.9,0.0,-1.0,0.0,-99.9,0.0,-1.0,0.0,-99.9,0.0,-1.0,0.0,-99.9,0.0,-1.0,0.0,-99.9
9,0.0,-99.9,0.0,-99.9,0.0,-99.9,0.0,-99.9,0.0,-99.9,0.0,-99.9,0.0,-99.9,0.0,-99.9,0.0,-99.9,0.0,-99.9,0.0,-99.9,0.0,-99.9,0.0,-99.9,0.0,-99.9,0.0,-99.9,0.0,-99.9
10,0.0,-99.9,0.0,27.4,0.0,-99.9,0.0,24.8,0.0,-99.9,0.0,29.0,0.0,-99.9,0.0,27.9,0.0,-99.9,0.0,25.5,0.0,-99.9,0.0,28.0,0.0,-99.9,0.0,25.2,0.0,-99.9,0.0,26.4
11,0.0,67.0,0.0,27.4,0.0,-99.9,0.0,24.8,0.0,55.5,0.0,29.0,0.0,64.8,0.0,27.9,0.0,70.0,0.0,25.5,0.0,-99.9,0.0,27.9,0.0,58.0,0.0,25.3,0.0,-99.9,0.0,26.4
12,0.0,67.2,0.0,27.4,0.0,-99.9,0.0,24.8,0.0,55.5,0.0,28.9,0.0,65.0,0.0,27.8,0.0,70.5,0.0,25.5,0.0,-99.9,0.0,27.9,0.0,58.2,0.0,25.2,0.0,-99.9,0.0,26.4
13,0.0,67.2,0.0,27.3,0.0,-99.9,0.0,24.7,0.0,56.5,0.0,28.7,0.0,66.1,0.0,27.1,0.0,70.8,0.0,25.4,0.0,-99.9,0.0,27.4,0.0,58.0,0.0,25.1,0.0,-99.9,0.0,26.1
14,0.0,68.5,0.0,26.9,0.0,-99.9,0.0,24.5,0.0,57.6,0.0,27.8,0.0,66.8,0.0,26.5,0.0,71.2,0.0,25.0,0.0,-99.9,0.0,26.6,0.0,58.5,0.0,24.8,0.0,-99.9,0.0,25.6
15,0.0,68.8,0.0,26.5,0.0,-99.9,0.0,24.3,0.0,57.8,0.0,27.2,0.0,67.1,0.0,26.2,0.0,71.5,0.0,24.8,0.0,-99.9,0.0,26.3,0.0,58.6,0.0,24.6,0.0,-99.9,0.0,25.3
16,0.4,68.5,0.0,26.3,0.0,-99.9,0.0,24.2,1.4,57.9,0.0,27.0,0.6,66.9,0.0,26.1,0.4,71.2,2.7,24.7,0.0,-99.9,0.0,26.1,0.4,58.8,4.3,24.6,0.0,-99.9,0.0,25.1
17,0.4,68.8,0.0,26.1,0.0,-99.9,0.0,24.1,0.4,58.2,0.0,26.7,0.5,66.9,0.0,26.0,0.4,71.2,3.1,24.7,0.0,-99.9,0.0,26.0,0.4,58.9,4.3,24.6,0.0,-99.9,0.0,25.1
18,0.4,30.2,0.0,26.1,0.0,-99.9,0.0,24.1,0.4,30.0,0.0,26.6,0.5,30.8,0.0,25.9,0.4,29.2,2.7,24.7,0.0,-99.9,0.0,25.9,0.4,29.0,3.1,24.7,0.0,-99.9,0.0,25.0
19,3.0,30.6,0.0,26.0,0.0,-99.9,0.0,24.0,3.1,30.0,0.0,26.5,4.0,30.8,0.0,25.9,3.0,29.8,2.0,24.8,0.0,-99.9,0.0,25.8,3.0,29.2,2.0,24.8,0.0,-99.9,0.0,24.9
20,0.7,31.4,100.0,25.9,0.0,-99.9,0.0,24.1,0.7,30.8,100.0,26.2,0.9,31.4,100.0,25.5,0.7,31.3,100.0,25.0,0.0,-99.9,0.0,25.8,0.7,30.0,100.0,25.0,0.0,-99.9,0.0,24.9
21,0.6,32.7,100.0,26.9,0.0,-99.9,0.0,24.0,0.7,31.5,100.0,27.5,0.9,32.3,100.0,27.1,0.7,32.6,100.0,26.6,0.0,-99.9,0.0,25.7,0.7,31.2,100.0,26.9,0.0,-99.9,0.0,24.9
